Longitude,Latitude,District,Year,Vehicle Type,Date,Hour,Road Type,Road Conditions,Red Light,Alcohol,Aggressive/Distracted Driving,Pedestrian,Cyclist,Automobile,Motorcycle,Truck
-79.267925,43.732192,Scarborough,2016, ,2016-06-06T04:00:00.000Z,14,Major Arterial,Dry,Yes, ,Yes, , ,Yes, , 
-79.48286800000001,43.688357,Etobicoke York,2016,"Automobile, Station Wagon",2016-01-06T05:00:00.000Z,14,Major Arterial,Dry, , , , , ,Yes, , 
-79.37324100000001,43.65372,Toronto and East York,2016, ,2016-03-04T05:00:00.000Z,14,Major Arterial,Dry, , , ,Yes, , , ,Yes
-79.392284,43.640692,Toronto and East York,2016, ,2016-06-14T04:00:00.000Z,14,Minor Arterial,Dry, , ,Yes,Yes, ,Yes, , 
-79.513202,43.739379,North York,2016, ,2016-04-10T04:00:00.000Z,3,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.511264,43.731806,North York,2016,Motorcycle,2016-05-17T04:00:00.000Z,14,Major Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.513202,43.739379,North York,2016, ,2016-04-10T04:00:00.000Z,3,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.364993,43.656932,Toronto and East York,2016, ,2016-07-28T04:00:00.000Z,14,Minor Arterial,Dry, , , ,Yes, , , ,Yes
-79.409488,43.656096000000005,Toronto and East York,2016, ,2016-11-02T04:00:00.000Z,19,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.513202,43.739379,North York,2016, ,2016-04-10T04:00:00.000Z,3,Major Arterial,Dry, , ,Yes, , ,Yes, , 
-79.4864,43.653998,Toronto and East York,2016, ,2016-04-23T04:00:00.000Z,3,Major Arterial,Other, , ,Yes, , ,Yes, , 
-79.222949,43.742284999999995,Scarborough,2016, ,2016-04-25T04:00:00.000Z,21,Major Arterial,Wet, , , ,Yes, ,Yes, , 
-79.50360400000001,43.760237,Etobicoke York,2016, ,2016-02-13T05:00:00.000Z,10,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.438091,43.640776,Toronto East York,2016, ,2016-02-18T05:00:00.000Z,22,Local,Dry, , , ,Yes, , , , 
-79.34917800000001,43.641405999999996,Toronto and East York,2016,"Automobile, Station Wagon",2016-10-27T04:00:00.000Z,15,Collector,Wet, , ,Yes, , ,Yes, , 
-79.377452,43.642066,Toronto and East York,2016,Motorcycle,2016-09-01T04:00:00.000Z,22,Major Arterial,Dry, , , , , ,Yes,Yes, 
-79.600063,43.727339,Etobicoke York,2016,"Automobile, Station Wagon",2016-05-24T04:00:00.000Z,13,Major Arterial,Dry, , ,Yes, , ,Yes, ,Yes
-79.517581,43.661376000000004,Etobicoke York,2016,Motorcycle,2016-07-22T04:00:00.000Z,19,Minor Arterial,Dry, , ,Yes, , ,Yes,Yes, 
-79.247493,43.755103000000005,Scarborough,2016, ,2016-06-15T04:00:00.000Z,0,Major Arterial,Dry, , , ,Yes, ,Yes, , 
-79.521175,43.599963,Etobicoke York,2016,"Automobile, Station Wagon",2016-02-01T05:00:00.000Z,10,Collector,Dry, , ,Yes, , ,Yes, , 
-79.255756,43.783583,Scarborough,2016,Motorcycle,2016-07-06T04:00:00.000Z,18,Expressway,Dry, , ,Yes, , ,Yes,Yes, 
-79.341022,43.756446000000004,North York,2016, ,2016-10-11T04:00:00.000Z,11,Collector,Dry, , , ,Yes, ,Yes, , 
